Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10303.8386,17.3258,17.2339,0.0919,15.1682,17.2826,17.1125,0.1701,32.4508,16.6748,1.7227,10303.8386,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10321.1644,16.9836,16.8939,0.0897,15.1250,16.6748,16.6508,0.0240,31.7998,16.1322,0.6510,10321.1644,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10338.1480,16.7545,16.6643,0.0902,14.8162,16.1322,16.1100,0.0222,30.9484,16.0382,0.8514,10338.1480,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10354.9025,16.2838,16.1214,0.1624,14.1939,16.0382,16.0202,0.0180,30.2321,15.7468,0.7163,10354.9025,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10371.1863,15.1714,15.0542,0.1172,13.9483,15.7468,15.7291,0.0177,29.6951,15.3388,0.5370,10371.1863,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10386.3577,16.0972,16.0035,0.0937,14.5237,15.3388,15.3234,0.0154,29.8625,15.1815,-0.1674,10386.3577,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10402.4549,15.4813,15.3897,0.0916,13.7653,15.1815,15.1636,0.0179,28.9468,14.9651,0.9157,10402.4549,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10417.9362,14.3786,14.2900,0.0886,13.4655,14.9651,14.9483,0.0168,28.4306,15.0181,0.5162,10417.9362,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10432.3148,15.0091,14.8910,0.1181,14.0520,15.0181,14.9969,0.0212,29.0701,14.7284,-0.6395,10432.3148,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10447.3239,15.5319,15.4449,0.0870,14.0610,14.7284,14.7122,0.0162,28.7894,14.3735,0.2807,10447.3239,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10462.8558,13.7377,13.6482,0.0895,13.2575,14.3735,14.3546,0.0189,27.6310,14.0208,1.1584,10462.8558,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10476.5935,14.8700,14.7519,0.1181,13.8933,14.0208,14.0054,0.0154,27.9141,13.8397,-0.2831,10476.5935,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10491.4635,13.8865,13.7981,0.0884,13.0441,13.8397,13.8235,0.0162,26.8838,14.1272,1.0303,10491.4635,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10505.3500,13.7469,13.6549,0.0920,12.9973,14.1272,14.1133,0.0139,27.1245,13.8203,-0.2407,10505.3500,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10519.0969,13.5661,13.4804,0.0857,13.3776,13.8203,13.7907,0.0296,27.1979,13.5281,-0.0734,10519.0969,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10532.6630,13.2968,13.0972,0.1996,13.6318,13.5281,13.5097,0.0184,27.1599,13.3085,0.0380,10532.6630,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10545.9598,14.0806,13.9697,0.1109,13.8631,13.3085,13.2877,0.0208,27.1716,13.1842,-0.0117,10545.9598,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10560.0404,13.9104,13.8168,0.0936,13.0910,13.1842,13.1686,0.0156,26.2752,13.4934,0.8964,10560.0404,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10573.9508,13.4742,13.3633,0.1109,12.3648,13.4934,13.4768,0.0166,25.8582,13.0237,0.4170,10573.9508,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10587.4250,12.1608,12.0750,0.0858,12.3840,13.0237,13.0105,0.0132,25.4077,13.1159,0.4505,10587.4250,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10599.5858,13.6787,13.5845,0.0942,13.2469,13.1159,13.0995,0.0164,26.3628,13.0491,-0.9551,10599.5858,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10613.2645,12.9679,12.8809,0.0870,12.6841,13.0491,13.0300,0.0191,25.7332,12.8947,0.6296,10613.2645,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10626.2324,13.6046,13.4862,0.1184,12.7653,12.8947,12.8775,0.0172,25.6600,12.9473,0.0732,10626.2324,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10639.8370,12.8159,12.7229,0.0930,12.0554,12.9473,12.9339,0.0134,25.0027,12.9461,0.6573,10639.8370,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10652.6529,12.8613,12.7594,0.1019,12.1868,12.9461,12.9257,0.0204,25.1329,13.0475,-0.1302,10652.6529,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10665.5142,13.3587,13.2392,0.1195,12.2716,13.0475,13.0332,0.0143,25.3191,13.1428,-0.1862,10665.5142,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10678.8729,12.0373,11.7438,0.2935,11.9604,13.1428,13.1262,0.0166,25.1032,13.0171,0.2159,10678.8729,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10690.9102,12.5535,12.4464,0.1071,13.0659,13.0171,13.0014,0.0157,26.0830,13.0646,-0.9798,10690.9102,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10703.4637,12.4015,12.3156,0.0859,13.5295,13.0646,13.0494,0.0152,26.5941,13.1110,-0.5111,10703.4637,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10715.8652,12.9170,12.8290,0.0880,14.1926,13.1110,13.0946,0.0164,27.3036,13.1531,-0.7095,10715.8652,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10728.7822,13.2980,13.2069,0.0911,14.3866,13.1531,13.1382,0.0149,27.5397,13.0754,-0.2361,10728.7822,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10742.0802,13.2861,13.1697,0.1164,14.2417,13.0754,13.0617,0.0137,27.3171,13.2756,0.2226,10742.0802,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10755.3663,13.0314,12.9442,0.0872,14.0310,13.2756,13.2607,0.0149,27.3066,13.3815,0.0105,10755.3663,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10768.3977,13.7488,13.6610,0.0878,14.2752,13.3815,13.3553,0.0262,27.6567,13.2595,-0.3501,10768.3977,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10782.1465,14.0462,13.6691,0.3771,13.9079,13.2595,13.2320,0.0275,27.1674,13.7478,0.4893,10782.1465,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10796.1927,15.9643,15.8505,0.1138,13.1212,13.7478,13.3789,0.3689,26.8690,13.3859,0.2984,10796.1927,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10812.1570,12.4390,12.3336,0.1054,10.9047,13.3859,13.3685,0.0174,24.2906,13.0704,2.5784,10812.1570,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10824.5960,11.0547,10.9574,0.0973,11.8516,13.0704,13.0567,0.0137,24.9220,13.3292,-0.6314,10824.5960,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10835.6507,12.4027,12.2884,0.1143,13.8673,13.3292,13.3144,0.0148,27.1965,13.0559,-2.2745,10835.6507,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10848.0534,12.9948,12.9048,0.0900,14.7938,13.0559,13.0416,0.0143,27.8497,13.1146,-0.6532,10848.0534,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10861.0482,13.3429,13.2525,0.0904,14.8549,13.1146,13.0978,0.0168,27.9695,13.1593,-0.1198,10861.0482,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10874.3911,13.6602,13.5702,0.0900,14.6266,13.1593,13.1458,0.0135,27.7859,13.1744,0.1836,10874.3911,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10888.0513,13.1541,13.0615,0.0926,14.1257,13.1744,13.1580,0.0164,27.3001,13.0651,0.4858,10888.0513,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10901.2054,13.9395,13.8502,0.0893,14.1460,13.0651,13.0534,0.0117,27.2111,13.1557,0.0890,10901.2054,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10915.1449,13.3983,13.1175,0.2808,13.2716,13.1557,13.1394,0.0163,26.4273,13.0436,0.7838,10915.1449,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10928.5432,14.0806,13.9838,0.0968,13.0290,13.0436,13.0318,0.0118,26.0726,13.1492,0.3547,10928.5432,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10942.6238,12.4415,12.3424,0.0991,11.9920,13.1492,13.1325,0.0167,25.1412,12.9894,0.9314,10942.6238,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10955.0653,12.5151,12.4033,0.1118,12.6997,12.9894,12.9709,0.0185,25.6891,13.1637,-0.5479,10955.0653,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10967.5804,12.4392,12.3338,0.1054,13.1740,13.1637,13.1472,0.0165,26.3377,13.0740,-0.6486,10967.5804,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10980.0196,13.2118,13.1238,0.0880,13.8985,13.0740,13.0571,0.0169,26.9725,13.1039,-0.6348,10980.0196,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10993.2314,12.9999,12.9116,0.0883,13.7607,13.1039,13.0897,0.0142,26.8646,13.0150,0.1079,10993.2314,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11006.2313,13.2183,13.1296,0.0887,13.8647,13.0150,13.0005,0.0145,26.8797,13.0231,-0.0151,11006.2313,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11019.4496,13.4609,13.3397,0.1212,13.6614,13.0231,13.0045,0.0186,26.6845,13.0918,0.1952,11019.4496,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11032.9105,13.7710,13.6822,0.0888,13.2236,13.0918,13.0785,0.0133,26.3154,13.1294,0.3691,11032.9105,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11046.6815,12.9150,12.8251,0.0899,12.5444,13.1294,13.1153,0.0141,25.6738,12.9725,0.6416,11046.6815,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11059.5965,13.2955,13.2052,0.0903,12.7588,12.9725,12.9574,0.0151,25.7313,13.0246,-0.0575,11059.5965,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11072.8920,13.1629,13.0763,0.0866,12.4358,13.0246,13.0107,0.0139,25.4604,13.0494,0.2709,11072.8920,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11086.0549,12.2094,12.1220,0.0874,12.2975,13.0494,13.0356,0.0138,25.3469,13.0334,0.1135,11086.0549,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11098.2643,12.9153,12.7998,0.1155,13.1375,13.0334,13.0193,0.0141,26.1709,13.1748,-0.8240,11098.2643,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11111.1796,12.9190,12.8314,0.0876,13.2556,13.1748,13.1557,0.0191,26.4304,13.1312,-0.2595,11111.1796,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11124.0986,14.6982,14.6134,0.0848,13.5114,13.1312,13.1146,0.0166,26.6426,13.0216,-0.2122,11124.0986,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11138.7968,11.2376,11.1508,0.0868,11.9444,13.0216,13.0028,0.0188,24.9660,13.0306,1.6766,11138.7968,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11150.0344,12.9519,12.8613,0.0906,13.7284,13.0306,13.0152,0.0154,26.7590,13.0880,-1.7930,11150.0344,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11162.9863,12.8050,12.7201,0.0849,13.8071,13.0880,13.0734,0.0146,26.8951,12.9122,-0.1361,11162.9863,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11175.7913,13.2930,13.2064,0.0866,14.0901,12.9122,12.8962,0.0160,27.0023,12.9905,-0.1072,11175.7913,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11189.0843,13.9028,13.7838,0.1190,13.7093,12.9905,12.9748,0.0157,26.6998,12.9943,0.3025,11189.0843,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11202.9871,12.4518,12.3640,0.0878,12.7970,12.9943,12.9665,0.0278,25.7913,12.8993,0.9085,11202.9871,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11215.4389,13.7166,13.5970,0.1196,13.3395,12.8993,12.8843,0.0150,26.2388,12.9816,-0.4475,11215.4389,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11229.1555,13.1966,13.1091,0.0875,12.5222,12.9816,12.9677,0.0139,25.5038,13.0705,0.7350,11229.1555,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11242.3521,12.5393,12.4485,0.0908,12.3072,13.0705,13.0547,0.0158,25.3777,12.8877,0.1261,11242.3521,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11254.8914,12.4028,12.3147,0.0881,12.8384,12.8877,12.8732,0.0145,25.7261,13.0379,-0.3484,11254.8914,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11267.2942,12.8671,12.7806,0.0865,13.3233,13.0379,13.0230,0.0149,26.3612,13.0514,-0.6351,11267.2942,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11280.1613,12.8976,12.8071,0.0905,13.4941,13.0514,13.0294,0.0220,26.5455,12.9787,-0.1843,11280.1613,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11293.0589,13.0291,12.9421,0.0870,13.6479,12.9787,12.9643,0.0144,26.6266,12.9428,-0.0811,11293.0589,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11306.0880,12.9191,12.8308,0.0883,13.5975,12.9428,12.9258,0.0170,26.5403,12.9236,0.0863,11306.0880,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11319.0071,13.7977,13.7093,0.0884,13.6212,12.9236,12.9092,0.0144,26.5448,13.0684,-0.0045,11319.0071,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11332.8048,12.6419,12.5572,0.0847,12.7471,13.0684,13.0507,0.0177,25.8155,12.9642,0.7293,11332.8048,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11345.4467,14.1137,14.0266,0.0871,13.1736,12.9642,12.9503,0.0139,26.1378,12.9993,-0.3223,11345.4467,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11359.5604,11.8905,11.7768,0.1137,12.0241,12.9993,12.9842,0.0151,25.0234,13.1200,1.1144,11359.5604,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11371.4509,13.4860,13.3718,0.1142,13.1329,13.1200,13.1012,0.0188,26.2529,12.9588,-1.2295,11371.4509,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11384.9369,12.2291,12.1428,0.0863,12.7669,12.9588,12.9453,0.0135,25.7257,13.1182,0.5272,11384.9369,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11397.1660,13.7334,13.6208,0.1126,13.4966,13.1182,13.1050,0.0132,26.6148,13.1205,-0.8891,11397.1660,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11410.8994,13.1187,13.0307,0.0880,12.8814,13.1205,13.1065,0.0140,26.0019,12.8777,0.6129,11410.8994,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11424.0181,13.0832,12.9972,0.0860,12.8832,12.8777,12.8624,0.0153,25.7609,13.0916,0.2410,11424.0181,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11437.1013,13.4645,13.3768,0.0877,12.6777,13.0916,13.0754,0.0162,25.7693,12.9732,-0.0084,11437.1013,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11450.5658,12.1832,12.0726,0.1106,12.3048,12.9732,12.9584,0.0148,25.2780,13.0796,0.4913,11450.5658,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11462.7490,12.6294,12.5401,0.0893,13.0948,13.0796,13.0647,0.0149,26.1744,13.1916,-0.8964,11462.7490,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11475.3784,13.0129,12.9270,0.0859,13.5450,13.1916,13.1783,0.0133,26.7366,12.9746,-0.5622,11475.3784,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11488.3913,13.3816,13.2930,0.0886,13.7237,12.9746,12.9603,0.0143,26.6983,12.9423,0.0383,11488.3913,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11501.7729,12.7690,12.6822,0.0868,13.3167,12.9423,12.9286,0.0137,26.2590,13.1414,0.4393,11501.7729,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11514.5419,13.1490,13.0633,0.0857,13.4900,13.1414,13.1258,0.0156,26.6314,12.8294,-0.3724,11514.5419,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11527.6909,13.6335,13.5382,0.0953,13.4824,12.8294,12.8135,0.0159,26.3118,13.0408,0.3196,11527.6909,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11541.3244,13.5368,13.4493,0.0875,12.6783,13.0408,13.0249,0.0159,25.7191,13.0700,0.5927,11541.3244,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11554.8612,12.4056,12.3184,0.0872,12.1823,13.0700,13.0562,0.0138,25.2523,12.9683,0.4668,11554.8612,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11567.2668,12.4851,12.3718,0.1133,12.8467,12.9683,12.9531,0.0152,25.8150,13.0036,-0.5627,11567.2668,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11579.7519,13.1850,13.0626,0.1224,13.3299,13.0036,12.9894,0.0142,26.3335,13.1239,-0.5185,11579.7519,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11592.9369,13.7119,13.6172,0.0947,13.1485,13.1239,13.1105,0.0134,26.2724,13.0704,0.0611,11592.9369,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11606.6488,12.7899,12.7018,0.0881,12.5605,13.0704,13.0390,0.0314,25.6309,13.0324,0.6415,11606.6488,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11619.4387,12.4049,12.3188,0.0861,12.8410,13.0324,13.0174,0.0150,25.8734,13.0423,-0.2425,11619.4387,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11631.8436,13.3287,13.2408,0.0879,13.4685,13.0423,13.0285,0.0138,26.5108,13.0692,-0.6374,11631.8436,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11645.1723,12.7594,12.6744,0.0850,13.1821,13.0692,13.0564,0.0128,26.2513,12.8754,0.2595,11645.1723,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11657.9317,13.2755,13.1509,0.1246,13.4919,12.8754,12.8579,0.0175,26.3673,13.0582,-0.1160,11657.9317,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11671.2072,13.7666,13.6379,0.1287,13.0918,13.0582,13.0433,0.0149,26.1500,12.9973,0.2173,11671.2072,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11684.9738,13.1392,13.0342,0.1050,12.3834,12.9973,12.9798,0.0175,25.3807,13.0232,0.7693,11684.9738,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11698.1130,12.4152,12.3268,0.0884,12.2415,13.0232,13.0067,0.0165,25.2647,13.0264,0.1160,11698.1130,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11710.5282,12.5921,12.4937,0.0984,12.8495,13.0264,13.0114,0.0150,25.8759,12.9005,-0.6112,11710.5282,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,11723.1203,12.7089,12.5979,0.1110,13.2838,12.9005,12.8849,0.0156,26.1843,13.0793,-0.3084,11723.1203,NA,NA,NA
